X Y
1.000000000000000000e+00 -3.184575256219171813e+00
2.000000000000000000e+00 6.115372179065357905e+00
3.000000000000000000e+00 6.521904870403918864e+00
4.000000000000000000e+00 8.499419234346571983e+00
5.000000000000000000e+00 8.995923255384003170e+00
6.000000000000000000e+00 1.577405594312348747e+01
7.000000000000000000e+00 1.257462035667617783e+01
8.000000000000000000e+00 2.130363815005252093e+01
9.000000000000000000e+00 2.525535121665032534e+01
1.000000000000000000e+01 2.397204283296382954e+01
